EmpID,FirstName,LastName,Performance Score,Current Employee Rating
1606,Hillary,Clements,Exceeds,3
1617,Terrell,Crosby,Needs Improvement,3
1627,Maggie,Rachael,Exceeds,3
1632,Alma,Pennington,Fully Meets,3
1664,Lainey,Ayers,Fully Meets,3
1667,George,Sheppard,Fully Meets,3
1722,Ronnie,Dillon,Fully Meets,3
1744,Mei,Trang,Fully Meets,3
1750,Alissa,Frey,Fully Meets,3
1778,Cannon,Lee,Fully Meets,3
1785,Miley,Gutierrez,Fully Meets,3
1821,Emilie,Hood,Fully Meets,3
1856,Matteo,Oneal,Exceeds,3
1887,Esther,Spears,Fully Meets,3
1891,William,Douglas,Fully Meets,3
1894,Hadley,Tapia,Fully Meets,3
1900,Jonas,Braun,Fully Meets,3
1901,Meadow,Howe,Fully Meets,3
1910,Adrian,Murray,Fully Meets,3
1946,Giovanni,Whitaker,Fully Meets,3
1952,Kristin,Mccarty,Fully Meets,3
1973,Lisa,Lunquist,Fully Meets,3
1976,Jon,Lynn,Fully Meets,3
2033,Nico,Villarreal,Fully Meets,3
2039,Carson,Pennington,Fully Meets,3
2061,King,Garrison,Fully Meets,3
2117,Terrell,Hanna,Exceeds,2
2132,Scarlett,Brooks,Needs Improvement,2
2145,Leo,Hickman,Exceeds,1
2148,Joel,Koch,Exceeds,5
2158,Melany,Stafford,Exceeds,3
2176,Tyree,Weaver,Exceeds,2
2177,Landen,Figueroa,PIP,4
2199,Lilly,Haynes,Exceeds,4
2207,Sam,Knight,Needs Improvement,5
2208,Lisa,Galia,Needs Improvement,5
2235,Kyson,Grimes,Fully Meets,1
2253,Steven,Jarvis,Fully Meets,1
2281,Elijiah,Gray,Fully Meets,4
2298,Terry,Gay,Fully Meets,4
2300,Wesley,Nguyen,Fully Meets,5
2316,Antwan,Gay,Fully Meets,2
2341,Jesus,Hendricks,Fully Meets,2
2383,Danny,Thomas,Fully Meets,4
2392,Demetrius,Mendez,Fully Meets,1
2409,Kaitlin,Cooke,Fully Meets,4
2453,Mila,Poole,Fully Meets,1
2455,Jakob,Luna,Fully Meets,2
2456,Odin,Sampson,Fully Meets,5
2506,Trey,Johnston,Fully Meets,5
2566,Elisabeth,Bradley,Fully Meets,2
2568,Eden,Choi,Fully Meets,4
2579,Jackie,Valentin,Fully Meets,2
2581,Howard,Mullaney,Fully Meets,1
2588,Callum,Ford,Fully Meets,5
2591,Cruz,Arellano,Fully Meets,4
2620,Kaylin,Dillon,Fully Meets,1
2631,Darien,Young,Fully Meets,2
2664,Felipe,Rollins,Fully Meets,1
2673,Alena,Walter,Fully Meets,4
2697,Benjamin,Goodman,Fully Meets,1
2709,Emily,Freeman,Fully Meets,2
2712,Helen,Humphrey,Fully Meets,1
2713,Abagail,Villanueva,Fully Meets,5
2721,Emerson,Zavala,Fully Meets,4
2748,Melinda,Saar-Beckles,Fully Meets,1
2750,Patrick,Moran,Fully Meets,4
2754,Louis,Punjabhi,Fully Meets,2
2759,Rick,Stoica,Fully Meets,2
2765,Rex,England,Fully Meets,4
2767,Colleen,Volk,Fully Meets,2
2773,Tony,Grimes,Fully Meets,2
2785,Atticus,White,Fully Meets,4
2793,Eden,Dalton,Fully Meets,1
2831,Craig,Sherman,Fully Meets,2
2861,Judith,Savage,Fully Meets,2
2879,Trystan,Fernandez,Fully Meets,2
2890,Caitlyn,Vaughan,Fully Meets,2
2905,Gillian,Williams,Fully Meets,1
2953,Cannon,Morgan,Fully Meets,5
2962,Gerald,Johnston,Fully Meets,1
2963,Kendrick,Snyder,Fully Meets,2
3013,Deja,Ritter,PIP,1
3037,Catalina,Eaton,Fully Meets,4
3040,Areli,Torres,Fully Meets,5
3047,Francesca,Lowe,Exceeds,5
3085,Eileen,Oneal,Fully Meets,2
3098,Rayne,Chambers,Fully Meets,4
3101,Bethany,Mckay,Fully Meets,2
3136,Cesar,Anderson,Fully Meets,4
3199,Hannah,Jacobi,Fully Meets,2
3210,Barbara M,Stanford,Fully Meets,5
3219,Luisa,Monterro,Fully Meets,3
3223,Alisa,Aguirre,Fully Meets,5
3243,Harley,Peterson,Fully Meets,2
3250,Seth,Fletcher,Fully Meets,2
3257,Sanaa,Reilly,Fully Meets,3
3262,Kasey,Preston,PIP,4
3270,Brandon,Dickerson,Fully Meets,2
3282,Rebekah,Carpenter,Fully Meets,3
3307,Quincy,Cardenas,Fully Meets,4
3313,Aimee,Davila,Fully Meets,3
3384,Dennis,Hays,Fully Meets,3
3387,Sabrina,Holt,Fully Meets,3
